Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2002,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,144.9670522,-37.80245924,"(-37.80245924, 144.9670522)"
2002,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,500,144.9667699,-37.80344164,"(-37.80344164, 144.9667699)"
2006,16,104018,104018,172-192 Flinders Street,Melbourne (CBD),Purple Emerald,110,144.9685429,-37.81663851,"(-37.81663851, 144.9685429)"
2002,214,106186,106186,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.9678126,-37.79694555,"(-37.79694555, 144.9678126)"
2008,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),JWow Bar,100,144.9657034,-37.810658,"(-37.810658, 144.9657034)"
2006,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.9544951,-37.81491898,"(-37.81491898, 144.9544951)"
2006,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Dr Martin's Tavern,261,144.9705847,-37.81393777,"(-37.81393777, 144.9705847)"
2006,72,110106,110106,263-267 William Street,Melbourne (CBD),Metropolitan Hotel,300,144.9565837,-37.81292397,"(-37.81292397, 144.9565837)"
2006,85,102597,102597,2-20 Drewery Place,Melbourne (CBD),Baroq House,303,144.9639703,-37.81130304,"(-37.81130304, 144.9639703)"
2006,115,103293,103293,502-504 Elizabeth Street,Melbourne (CBD),Stork Hotel,180,144.9603498,-37.80719768,"(-37.80719768, 144.9603498)"
2006,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Mac's Hotel,125,144.9616126,-37.80752292,"(-37.80752292, 144.9616126)"
2002,369,103507,103507,86-90 Errol Street,North Melbourne,Court House Hotel,140,144.9499557,-37.80287733,"(-37.80287733, 144.9499557)"
2011,1103,558180,558180,122-148 Harbour Esplanade,Docklands,E J Whitten Bar ,70,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2011,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Captains Bar ,80,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2006,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,144.9645574,-37.81567229,"(-37.81567229, 144.9645574)"
2006,803,111175,110477,8 Whiteman Street,Southbank,Number 8,200,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2006,803,111175,110477,8 Whiteman Street,Southbank,Cafe Greco,508,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2006,803,111175,110477,8 Whiteman Street,Southbank,Waterfront ,349,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2006,803,111175,110477,8 Whiteman Street,Southbank,Automatic Cafe,340,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2016,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Polepole Bar,100,144.9656034,-37.81483458,"(-37.81483458, 144.9656034)"
2016,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.9655966,-37.8166033,"(-37.8166033, 144.9655966)"
2013,419,108876,108876,573-579 Spencer Street,West Melbourne (Residential),McMahons,160,144.9469867,-37.80740767,"(-37.80740767, 144.9469867)"
2006,215,108202,108202,415-421 Rathdowne Street,Carlton,Clare Castle Hotel,50,144.9704262,-37.79652005,"(-37.79652005, 144.9704262)"
2011,260,103276,103276,614-616 Elizabeth Street,Carlton,The Arthouse,250,144.9589387,-37.80389369,"(-37.80389369, 144.9589387)"
2002,710,108617,108617,375-385 St Kilda Road,Melbourne (Remainder),Royce On St Kilda Road,120,144.9755139,-37.83506751,"(-37.83506751, 144.9755139)"
2006,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,239,144.9657541,-37.79725532,"(-37.79725532, 144.9657541)"
2002,915,108456,108456,43-49 Royal Parade,Parkville,Naughtons Hotel,120,144.9575345,-37.79554181,"(-37.79554181, 144.9575345)"
2002,215,108202,108202,415-421 Rathdowne Street,Carlton,Clare Castle Hotel,50,144.9704262,-37.79652005,"(-37.79652005, 144.9704262)"
2013,6,578321,573333,2 Swanston Street,Melbourne (CBD),Beer De Luxe,355,144.9699175,-37.81784465,"(-37.81784465, 144.9699175)"
2011,66,108547,108547,199-203 Russell Street,Melbourne (CBD),Exford Hotel,300,144.9673406,-37.81179179,"(-37.81179179, 144.9673406)"
2006,17,103924,103924,107-109 Flinders Lane,Melbourne (CBD),Bisq Cafeteria,200,144.9708344,-37.81560645,"(-37.81560645, 144.9708344)"
2002,270,104468,104468,156-292 Grattan Street,Parkville,University House,611,144.9612468,-37.79739836,"(-37.79739836, 144.9612468)"
2002,270,104468,104468,156-292 Grattan Street,Parkville,U Bar,200,144.9612468,-37.79739836,"(-37.79739836, 144.9612468)"
2006,87,101023,101023,25 Bennetts Lane,Melbourne (CBD),Bennetts Lane Jazz Club,300,144.967558,-37.80889245,"(-37.80889245, 144.967558)"
2006,358,109829,109829,312-316 Victoria Street,North Melbourne,Victoria Hotel,130,144.9557051,-37.80563237,"(-37.80563237, 144.9557051)"
2006,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.9581264,-37.80591439,"(-37.80591439, 144.9581264)"
2006,362,109843,109843,232-238 Victoria Street,North Melbourne,The Public Bar Hotel,180,144.9585875,-37.80593327,"(-37.80593327, 144.9585875)"
2011,54,109954,109954,15-19 Warburton Lane,Melbourne (CBD),Murmur,50,144.9618462,-37.81381239,"(-37.81381239, 144.9618462)"
2013,803,111175,110477,8 Whiteman Street,Southbank,Crown Entertainment Complex and Casino,320,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2013,803,111175,110477,8 Whiteman Street,Southbank,The Waiting Room,120,144.9586604,-37.82312164,"(-37.82312164, 144.9586604)"
2011,71,105318,105318,277-287 King Street,Melbourne (CBD),Hotel Sophia,116,144.9541999,-37.81367535,"(-37.81367535, 144.9541999)"
2011,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.9655966,-37.8166033,"(-37.8166033, 144.9655966)"
2002,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),Loki Bar,140,144.955498,-37.80666721,"(-37.80666721, 144.955498)"
2006,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,144.9681892,-37.81367486,"(-37.81367486, 144.9681892)"
2006,16,103938,103938,187 Flinders Lane,Melbourne (CBD),Adelphi Hotel,80,144.9683751,-37.81635789,"(-37.81635789, 144.9683751)"
2006,48,101109,101109,39-43 Bourke Street,Melbourne (CBD),Spleen Central,100,144.9720472,-37.81193572,"(-37.81193572, 144.9720472)"
2006,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop 23 ,150,144.9721078,-37.8121518,"(-37.8121518, 144.9721078)"
2006,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Asuka Restaurant,150,144.9715659,-37.81212537,"(-37.81212537, 144.9715659)"
2006,58,101238,101238,2-8 Bourke Street,Melbourne (CBD),Imperial Hotel,300,144.972676,-37.8112003,"(-37.8112003, 144.972676)"
2006,58,105828,105828,19-25 Little Bourke Street,Melbourne (CBD),Cheers On Little Bourke Street,350,144.9719903,-37.81074304,"(-37.81074304, 144.9719903)"
2006,15,109257,109257,1-7 Swanston Street,Melbourne (CBD),Young & Jackson,470,144.967023,-37.817356,"(-37.817356, 144.967023)"
2006,48,103626,103626,114-122 Exhibition Street,Melbourne (CBD),European Bier Cafe,550,144.9711999,-37.81285806,"(-37.81285806, 144.9711999)"
2006,48,105968,105968,62-66 Little Collins Street,Melbourne (CBD),Bridie O'Reillys,285,144.971442,-37.81280958,"(-37.81280958, 144.971442)"
2006,753,110606,110380,3 Southgate Avenue,Southbank,Mecca,200,144.9662623,-37.82066923,"(-37.82066923, 144.9662623)"
2008,87,108568,108568,296-298 Russell Street,Melbourne (CBD),Chill On Pty Ltd,120,144.9669287,-37.80957196,"(-37.80957196, 144.9669287)"
2006,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,400,144.9699756,-37.80941489,"(-37.80941489, 144.9699756)"
2006,97,103615,103615,333-351 Exhibition Street,Melbourne (CBD),The Owl & The Pussycat ,100,144.9680267,-37.8078604,"(-37.8078604, 144.9680267)"
2006,84,105449,105449,293-299 La Trobe Street,Melbourne (CBD),Duke of Kent Hotel,200,144.9605086,-37.81081439,"(-37.81081439, 144.9605086)"
2006,74,108103,108103,244-250 Queen Street,Melbourne (CBD),Shamiana,200,144.959964,-37.81269018,"(-37.81269018, 144.959964)"
2006,62,105384,105384,204-208 King Street,Melbourne (CBD),Great Western Hotel,390,144.9554836,-37.81521196,"(-37.81521196, 144.9554836)"
2006,358,107887,107887,351-359 Queensberry Street,North Melbourne,The Keeper's Arm,240,144.9559672,-37.80395618,"(-37.80395618, 144.9559672)"
2006,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,500,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2006,11,103993,103993,508-514 Flinders Street,Melbourne (CBD),Waterside Hotel,324,144.9571505,-37.820166,"(-37.820166, 144.9571505)"
2006,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,144.9670522,-37.80245924,"(-37.80245924, 144.9670522)"
2006,247,106239,106239,186-190 Lygon Street,Carlton,Hotel Milan,540,144.9669216,-37.80263986,"(-37.80263986, 144.9669216)"
2006,252,106244,106244,160-162 Lygon Street,Carlton,Bar Centrale,300,144.9667699,-37.80344164,"(-37.80344164, 144.9667699)"
2006,355,105636,105636,46-50 Leveson Street,North Melbourne,The Leveson,400,144.9514591,-37.80370014,"(-37.80370014, 144.9514591)"
2002,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,350,144.9656988,-37.80619915,"(-37.80619915, 144.9656988)"
2006,266,106081,106081,27-31 Lygon Street,Carlton,John Curtin Hotel,350,144.9656988,-37.80619915,"(-37.80619915, 144.9656988)"
2006,74,104662,104662,106-112 Hardware Street,Melbourne (CBD),Pugg Mahones Irish Bar,200,144.9606805,-37.81213605,"(-37.81213605, 144.9606805)"
2002,355,105636,105636,46-50 Leveson Street,North Melbourne,Eldorado Hotel,400,144.9514591,-37.80370014,"(-37.80370014, 144.9514591)"
2006,87,108565,108565,312-318 Russell Street,Melbourne (CBD),Hyde,269,144.9668166,-37.80932575,"(-37.80932575, 144.9668166)"
2006,804,110988,110988,7-9 South Wharf,Southbank,Atlantic South Wharf Function Centre,1300,144.9503336,-37.82409303,"(-37.82409303, 144.9503336)"
2013,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.9605354,-37.8162542,"(-37.8162542, 144.9605354)"
2002,1103,558180,558180,94-148 Harbour Esplanade,Docklands,Locker Room Club Bar,500,144.9475776,-37.81656591,"(-37.81656591, 144.9475776)"
2002,378,103818,103818,75-79 Flemington Road,North Melbourne,Redback Brewery Hotel,670,144.9533473,-37.79895071,"(-37.79895071, 144.9533473)"
2002,375,103810,103810,5-17 Flemington Road,North Melbourne,The Chifley On Flemington,230,144.9558713,-37.80140031,"(-37.80140031, 144.9558713)"
2006,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),Loki Bar,140,144.955498,-37.80666721,"(-37.80666721, 144.955498)"
2002,347,110920,110920,161-163 Errol Street,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.9496139,-37.80114341,"(-37.80114341, 144.9496139)"
2002,376,508976,110862,42 Courtney Street,North Melbourne,Metropolitan Hotel,120,144.9540178,-37.80139544,"(-37.80139544, 144.9540178)"
2008,327,102352,102352,171-173 Curzon Street,North Melbourne,Albion Hotel,150,144.9485505,-37.79889904,"(-37.79889904, 144.9485505)"
2006,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,144.9605409,-37.81549904,"(-37.81549904, 144.9605409)"
2011,74,106017,106017,391-393 Little Lonsdale Street,Melbourne (CBD),La La Land. The Melbourne Room,175,144.9603411,-37.81187439,"(-37.81187439, 144.9603411)"
2006,255,109366,109366,594-600 Swanston Street,Carlton,Plough and Harrow Hotel,400,144.9639453,-37.80276989,"(-37.80276989, 144.9639453)"
2011,12,105399,105399,26-32 King Street,Melbourne (CBD),Clique Bar,222,144.957466,-37.81952934,"(-37.81952934, 144.957466)"
2006,54,105852,105852,401-405 Little Bourke Street,Melbourne (CBD),The Apartment Restaurant Club Lounge,250,144.9610348,-37.81403196,"(-37.81403196, 144.9610348)"
2006,64,104376,104376,14-20 Goldie Place,Melbourne (CBD),Word Events,200,144.960731,-37.81328585,"(-37.81328585, 144.960731)"
2006,32,102117,102117,500-514 Collins Street,Melbourne (CBD),Menzies Tavern,200,144.9574732,-37.81753383,"(-37.81753383, 144.9574732)"
2008,218,106215,106215,298 Lygon Street,Carlton,Carlton Yacht Club Bar,60,144.9673764,-37.79998572,"(-37.79998572, 144.9673764)"
2008,218,106222,106222,270-276 Lygon Street,Carlton,University Hotel,111,144.9672432,-37.8005263,"(-37.8005263, 144.9672432)"
2006,95,109315,109315,407-409 Swanston Street,Melbourne (CBD),Bunker Lounge Bar,92,144.9631797,-37.80895593,"(-37.80895593, 144.9631797)"
2013,760,108642,108642,497-503 St Kilda Road,Melbourne (Remainder),Commodity Cafe,150,144.9790762,-37.84331737,"(-37.84331737, 144.9790762)"
2002,618,109993,109993,178-226 Wellington Parade,East Melbourne,Hilton Hotels of Australia (Melbourne) Pty Ltd,200,144.9834989,-37.81582277,"(-37.81582277, 144.9834989)"
2002,618,109993,109993,178-226 Wellington Parade,East Melbourne,MCG Worx,144,144.9834989,-37.81582277,"(-37.81582277, 144.9834989)"
2006,618,109993,109993,178-226 Wellington Parade,East Melbourne,Hilton,200,144.9834989,-37.81582277,"(-37.81582277, 144.9834989)"
2006,15,103944,103944,277-279 Flinders Lane,Melbourne (CBD),De Biers,400,144.9652979,-37.81724201,"(-37.81724201, 144.9652979)"
2006,11,108972,108972,10-22 Spencer Street,Melbourne (CBD),Explorers Inn,50,144.9552421,-37.82050677,"(-37.82050677, 144.9552421)"
2002,361,109842,109842,240-248 Victoria Street,North Melbourne,Central Club Hotel,150,144.9581264,-37.80591439,"(-37.80591439, 144.9581264)"
2006,57,101217,101217,124-128 Bourke Street,Melbourne (CBD),Welcome Stranger,350,144.9692645,-37.81207094,"(-37.81207094, 144.9692645)"
2006,58,103621,103621,174-192 Exhibition Street,Melbourne (CBD),CBD Cafe Bar,190,144.9706454,-37.81121462,"(-37.81121462, 144.9706454)"
2002,859,109512,109512,146W-150W Toorak Road,South Yarra,United Kingdom Settlers Association,100,144.9843706,-37.83764623,"(-37.83764623, 144.9843706)"
2006,214,106186,106186,414-422 Lygon Street,Carlton,Percys Bar & Bistro,120,144.9678126,-37.79694555,"(-37.79694555, 144.9678126)"
2008,46,101136,101136,231-233 Bourke Street,Melbourne (CBD),Red Violin,303,144.9668415,-37.81343614,"(-37.81343614, 144.9668415)"
2006,48,108983,108983,103-137 Spring Street,Melbourne (CBD),Hard Rock Cafe,500,144.9729245,-37.81199351,"(-37.81199351, 144.9729245)"
2006,753,110606,110380,3 Southgate Avenue,Southbank,Bear Brass,200,144.9662623,-37.82066923,"(-37.82066923, 144.9662623)"
2006,753,110606,110380,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub,350,144.9662623,-37.82066923,"(-37.82066923, 144.9662623)"
2002,255,109366,109366,594-600 Swanston Street,Carlton,Canada Hotel,250,144.9639453,-37.80276989,"(-37.80276989, 144.9639453)"
2006,53,110145,110145,170-176 William Street,Melbourne (CBD),Chris's Daily Grind,50,144.9582309,-37.81492637,"(-37.81492637, 144.9582309)"
2002,760,108642,108642,497-503 St Kilda Road,Melbourne (Remainder),Cafe Dom - The Granite Bar,500,144.9790762,-37.84331737,"(-37.84331737, 144.9790762)"
2006,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Altitude,300,144.9676479,-37.81246709,"(-37.81246709, 144.9676479)"
2006,13,108058,108058,7-11 Queen Street,Melbourne (CBD),The Bliss Lounge,210,144.9619461,-37.81861863,"(-37.81861863, 144.9619461)"
2011,58,105657,105657,21 Liverpool Street,Melbourne (CBD),Double Happiness Bar,164,144.9712639,-37.81118056,"(-37.81118056, 144.9712639)"
2013,54,105852,105852,401-405 Little Bourke Street,Melbourne (CBD),The Apartment Restaurant Club Lounge,250,144.9610348,-37.81403196,"(-37.81403196, 144.9610348)"
2002,345,103402,103402,33 Errol Street,North Melbourne,Townhall Hotel North Melbourne,220,144.9489068,-37.80414139,"(-37.80414139, 144.9489068)"
2002,377,102236,102236,56-58 Courtney Street,North Melbourne,The Castle Hotel,317,144.953035,-37.8008985,"(-37.8008985, 144.953035)"
2011,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,85,144.9631276,-37.81292437,"(-37.81292437, 144.9631276)"
2006,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.9655966,-37.8166033,"(-37.8166033, 144.9655966)"
2002,204,101613,101613,377-391 Cardigan Street,Carlton,Clyde Hotel,239,144.9657541,-37.79725532,"(-37.79725532, 144.9657541)"
2002,255,101593,101593,91-95 Cardigan Street,Carlton,Lincoln Hotel,50,144.9645057,-37.80448528,"(-37.80448528, 144.9645057)"
2002,228,101450,101450,223-227 Canning Street,Carlton,Dan O'Connell Hotel,600,144.9733817,-37.79303229,"(-37.79303229, 144.9733817)"
2006,42,105392,105392,120-138 King Street,Melbourne (CBD),The Exchange Hotel,1240,144.9564078,-37.81703156,"(-37.81703156, 144.9564078)"
2002,315,100514,100514,204-206 Arden Street,North Melbourne,North Melbourne Football Club Social Club,210,144.9413118,-37.79905531,"(-37.79905531, 144.9413118)"
2002,315,100514,100514,204-206 Arden Street,North Melbourne,Kanga Kasino,90,144.9413118,-37.79905531,"(-37.79905531, 144.9413118)"
2002,267,106251,106251,66-88 Lygon Street,Carlton,Lagers On Lygon,80,144.9665747,-37.80530329,"(-37.80530329, 144.9665747)"
2002,131,108844,108844,1-5 Spencer Street,Docklands,Holiday Inn Melbourne,130,144.9549939,-37.8226581,"(-37.8226581, 144.9549939)"
2002,658,110266,110266, Brunton Avenue,East Melbourne,Spotless Services,2545,144.9832828,-37.81992883,"(-37.81992883, 144.9832828)"
2008,1101,108973,108973,85-161 Spencer Street,Docklands,Loco Bar,400,144.9523393,-37.81815358,"(-37.81815358, 144.9523393)"
2008,1108,604125,604125,143-175 Harbour Esplanade,Docklands,Alumbra At Central Pier,690,144.9435654,-37.8165193,"(-37.8165193, 144.9435654)"
2002,84,103207,103207,315-321 Elizabeth Street,Melbourne (CBD),Tabaret At Melbourne Central,250,144.9614724,-37.81124935,"(-37.81124935, 144.9614724)"
2002,74,106017,106017,391-393 Little Lonsdale Street,Melbourne (CBD),La La Land,175,144.9603411,-37.81187439,"(-37.81187439, 144.9603411)"
2002,78,108991,108991,267-271 Spring Street,Melbourne (CBD),Elm's Family Hotel,200,144.9714481,-37.8086111,"(-37.8086111, 144.9714481)"
2011,327,102352,102352,171-173 Curzon Street,North Melbourne,Albion Hotel,150,144.9485505,-37.79889904,"(-37.79889904, 144.9485505)"
2011,336,585863,585863,175-191 Dryburgh Street,North Melbourne,The Oasis Oz Hotel ,390,144.9433563,-37.80205261,"(-37.80205261, 144.9433563)"
2013,54,109954,109954,15-19 Warburton Lane,Melbourne (CBD),Murmur,50,144.9618462,-37.81381239,"(-37.81381239, 144.9618462)"
2006,375,103810,103810,5-17 Flemington Road,North Melbourne,RMIT Village Old Melbourne,356,144.9558713,-37.80140031,"(-37.80140031, 144.9558713)"
2006,915,108456,108456,43-49 Royal Parade,Parkville,Naughtons Hotel,120,144.9575345,-37.79554181,"(-37.79554181, 144.9575345)"
2006,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,180,144.9630313,-37.81782313,"(-37.81782313, 144.9630313)"
2003,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,400,144.9699756,-37.80941489,"(-37.80941489, 144.9699756)"
2006,217,103102,103102,171-175 Elgin Street,Carlton,Pugg Mahones,500,144.9687079,-37.79750574,"(-37.79750574, 144.9687079)"
2008,36,102152,102152,162-168 Collins Street,Melbourne (CBD),Long Room,620,144.9678476,-37.81450301,"(-37.81450301, 144.9678476)"
2006,67,108581,108581,226-236 Russell Street,Melbourne (CBD),Mai Tai Restaurant,170,144.9676444,-37.81098272,"(-37.81098272, 144.9676444)"
2002,13,108058,108058,7-11 Queen Street,Melbourne (CBD),The Bliss Lounge,210,144.9619461,-37.81861863,"(-37.81861863, 144.9619461)"
2002,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Altitude,300,144.9676479,-37.81246709,"(-37.81246709, 144.9676479)"
2002,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,400,144.9605409,-37.81549904,"(-37.81549904, 144.9605409)"
2002,58,103621,103621,174-192 Exhibition Street,Melbourne (CBD),CBD Cafe Bar,190,144.9706454,-37.81121462,"(-37.81121462, 144.9706454)"
2002,16,104018,104018,172-192 Flinders Street,Melbourne (CBD),Purple Emerald,100,144.9685429,-37.81663851,"(-37.81663851, 144.9685429)"
2002,42,105392,105392,120-138 King Street,Melbourne (CBD),The Exchange Hotel,300,144.9564078,-37.81703156,"(-37.81703156, 144.9564078)"
2002,87,108565,108565,312-318 Russell Street,Melbourne (CBD),Kivotos Cafe Bar,250,144.9668166,-37.80932575,"(-37.80932575, 144.9668166)"
2002,35,109271,109271,125-133 Swanston Street,Melbourne (CBD),Hi Fi Bar & Ballroom,800,144.9658102,-37.81472467,"(-37.81472467, 144.9658102)"
2002,46,105964,105964,188-194 Little Collins Street,Melbourne (CBD),Gin Palace,150,144.9675807,-37.81390779,"(-37.81390779, 144.9675807)"
2002,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,144.9605354,-37.8162542,"(-37.8162542, 144.9605354)"
2002,17,103925,103925,121-123 Flinders Lane,Melbourne (CBD),Velour,350,144.9705132,-37.81567009,"(-37.81567009, 144.9705132)"
2002,87,106057,106057,106 Little Lonsdale Street,Melbourne (CBD),Troika Bar,60,144.96859,-37.8091536,"(-37.8091536, 144.96859)"
2002,105,109317,109317,427-433 Swanston Street,Melbourne (CBD),The Oxford Scholar Hotel,486,144.962901,-37.80846658,"(-37.80846658, 144.962901)"
2002,66,105878,105878,242-244 Little Bourke Street,Melbourne (CBD),Shanghai Club,209,144.965603,-37.81213633,"(-37.81213633, 144.965603)"
2002,66,108550,108550,213-217 Russell Street,Melbourne (CBD),Enka Karaoke Bar,80,144.9672365,-37.81156167,"(-37.81156167, 144.9672365)"
2002,56,101207,101207,184-186 Bourke Street,Melbourne (CBD),Hollywood Karaoke Bar,150,144.9676888,-37.81267583,"(-37.81267583, 144.9676888)"
2002,23,102098,102098,415-417 Collins Street,Melbourne (CBD),The Sherlock Holmes Inn,70,144.9608681,-37.81746814,"(-37.81746814, 144.9608681)"
2002,67,103605,103605,231-233 Exhibition Street,Melbourne (CBD),The Sen Bar,120,144.9695206,-37.81051104,"(-37.81051104, 144.9695206)"
2002,11,108971,108971,24-40 Spencer Street,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.9551524,-37.82020482,"(-37.82020482, 144.9551524)"
2002,33,105937,105937,435-443 Little Collins Street,Melbourne (CBD),The Kitchen Restaurant,200,144.9600859,-37.81638558,"(-37.81638558, 144.9600859)"
2002,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,144.9645574,-37.81567229,"(-37.81567229, 144.9645574)"
2002,67,108581,108581,226-236 Russell Street,Melbourne (CBD),Mai Tai Restaurant,170,144.9676444,-37.81098272,"(-37.81098272, 144.9676444)"
2002,11,103993,103993,508-514 Flinders Street,Melbourne (CBD),Waterside Hotel,400,144.9571505,-37.820166,"(-37.820166, 144.9571505)"
2002,11,108972,108972,10-22 Spencer Street,Melbourne (CBD),Explorers Inn,50,144.9552421,-37.82050677,"(-37.82050677, 144.9552421)"
2002,14,101099,101099,16-26 Bond Street,Melbourne (CBD),Bond Lounge,280,144.9630575,-37.81814578,"(-37.81814578, 144.9630575)"
2002,35,102143,102143,258-274 Collins Street,Melbourne (CBD),Australia On Collins Bar,11,144.9648999,-37.81536587,"(-37.81536587, 144.9648999)"
2002,34,110669,110668,353 Little Collins Street,Melbourne (CBD),Grosvenor Tavern,230,144.9631329,-37.81594942,"(-37.81594942, 144.9631329)"
2002,15,103944,103944,277-279 Flinders Lane,Melbourne (CBD),De Biers,400,144.9652979,-37.81724201,"(-37.81724201, 144.9652979)"
2002,46,101130,101130,193-199 Bourke Street,Melbourne (CBD),The Carlton Hotel,200,144.9676452,-37.81320485,"(-37.81320485, 144.9676452)"
2002,15,109257,109257,1-7 Swanston Street,Melbourne (CBD),Young & Jackson,450,144.967023,-37.817356,"(-37.817356, 144.967023)"
2002,105,103301,103301,442-450 Elizabeth Street,Melbourne (CBD),Melbourne International Backpackers,365,144.9608588,-37.8083077,"(-37.8083077, 144.9608588)"
2002,95,109315,109315,407-409 Swanston Street,Melbourne (CBD),Basement 407,150,144.9631797,-37.80895593,"(-37.80895593, 144.9631797)"
2002,37,102158,102158,86-88 Collins Street,Melbourne (CBD),Dr Martin's Tavern,291,144.9705847,-37.81393777,"(-37.81393777, 144.9705847)"
2002,32,102117,102117,500-514 Collins Street,Melbourne (CBD),Menzies Tavern,250,144.9574732,-37.81753383,"(-37.81753383, 144.9574732)"
2002,64,104376,104376,14-20 A'Beckett Street,Melbourne (CBD),Word Events,200,144.960731,-37.81328585,"(-37.81328585, 144.960731)"
2002,14,103172,103172,31-39 Elizabeth Street,Melbourne (CBD),Connells Tavern,350,144.9643316,-37.81741878,"(-37.81741878, 144.9643316)"
2002,14,103165,103165,1-5 Elizabeth Street,Melbourne (CBD),Hosies Tavern,270,144.964608,-37.81805666,"(-37.81805666, 144.964608)"
2002,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,200,144.9630313,-37.81782313,"(-37.81782313, 144.9630313)"
2002,85,102597,102597,2-20 Drewery Place,Melbourne (CBD),Embassy Bar,303,144.9639703,-37.81130304,"(-37.81130304, 144.9639703)"
2002,72,110106,110106,263-267 William Street,Melbourne (CBD),Metropolitan On William Bar & Restaurant,300,144.9565837,-37.81292397,"(-37.81292397, 144.9565837)"
2002,61,105716,105716,597-603 Lonsdale Street,Melbourne (CBD),The Men's Gallery,675,144.9544951,-37.81491898,"(-37.81491898, 144.9544951)"
2002,71,105318,105318,277-287 King Street,Melbourne (CBD),Golden Age Hotel,200,144.9541999,-37.81367535,"(-37.81367535, 144.9541999)"
2002,115,103293,103293,502-504 Elizabeth Street,Melbourne (CBD),Stork Hotel,180,144.9603498,-37.80719768,"(-37.80719768, 144.9603498)"
2002,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Mac's Hotel,125,144.9616126,-37.80752292,"(-37.80752292, 144.9616126)"
2002,62,105384,105384,204-208 King Street,Melbourne (CBD),Great Western Hotel,383,144.9554836,-37.81521196,"(-37.81521196, 144.9554836)"
2002,74,104662,104662,106-112 Hardware Street,Melbourne (CBD),Pugg Mahones Irish Bar,200,144.9606805,-37.81213605,"(-37.81213605, 144.9606805)"
