POPGROUP.id,POPGROUP.display-label,GEO.id,GEO.id2,GEO.display-label,D001
001,Total population,1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",2937
001,Total population,1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",1974
001,Total population,1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",4865
001,Total population,1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",3703
001,Total population,1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",3517
001,Total population,1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",1571
001,Total population,1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",4206
001,Total population,1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",3594
001,Total population,1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",2302
001,Total population,1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",5678
001,Total population,1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",4156
001,Total population,1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",2416
001,Total population,1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",3528
001,Total population,1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",4314
001,Total population,1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",2630
001,Total population,1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",2163
001,Total population,1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",2667
001,Total population,1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",1703
001,Total population,1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",2385
001,Total population,1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",2351
001,Total population,1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",1784
001,Total population,1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",1151
001,Total population,1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",1569
001,Total population,1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",3345
001,Total population,1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",1434
001,Total population,1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",2788
001,Total population,1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",2238
001,Total population,1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",4054
001,Total population,1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",4146
