I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
1		-2150					    		 7.3						 7.3		JORDAN		JORDAN:  BAB-A-DARAA,AL-KARAK	  31.100	   35.500	140								3																
3		-2000						18	 7.1		 7.1					10	TURKMENISTAN		TURKMENISTAN:  W	  38.000	   58.200	40	       1	1						1		1			       1	1						1		1		
2	Tsu	-2000														10	SYRIA		SYRIA:  UGARIT	  35.683	   35.800	130		3												3										
5877	Tsu	-1610															GREECE		GREECE:  THERA ISLAND (SANTORINI)	  36.400	   25.400	130														3						3				
8		-1566					    									10	ISRAEL		ISRAEL:  ARIHA (JERICHO)	  31.500	   35.300	140								3																
11		-1450														10	ITALY		ITALY:  LACUS CIMINI	  35.500	   25.500	130																								
9712	Tsu	-1365															SYRIA		SYRIAN COASTS	  35.683	   35.800	140								3												3				
12		-1250					    		 6.5						 6.5		ISRAEL		ISRAEL:  ARIHA (JERICHO)	  32.000	   35.500	140								3																
13		-1050					    		 6.2						 6.2		JORDAN		JORDAN:  SW:  TIMNA COPPER MINES	  29.600	   35.000	140								3																
14		-759					    									11	ISRAEL		ISRAEL:  JERUSALEM	  33.000	   35.500	140								3																
7793	Tsu	-590															LEBANON		LEBANON:  SUR (TYRE)	  33.270	   35.220	140																								
16		-550														10	GREECE		GREECE:  MOUNT TAYGETUS	  37.000	   22.500	130																								
7794	Tsu	-525															LEBANON		LEBANON:  SUR (TYRE), SAYDA (SAIDA)	  33.560	   35.370	140																								
9713	Tsu	-480	9	29													GREECE		GREECE:  SARONIC GULF	  37.900	   23.500	130																								
17	Tsu	-479							 7.0		 7.0					9	GREECE		GREECE:  MACEDONIA	  39.700	   23.300	130														3										
18		-432															GREECE		GREECE:  ROMAN TERRITORIES	  37.000	   22.500	130								1		1										1		1		
5878	Tsu	-426	6						 7.1		 7.1					10	GREECE		GREECE:  EUBOEA	  38.900	   22.700	130	    2500	4						3		3			    2500	4						3		3		
19		-400							 7.6		 7.6						IRAN		IRAN:  REY,EIVAN-E-KAY	  35.500	   51.800	140								3												3				
20	Tsu	-373							 7.3		 7.3					11	GREECE		GREECE	  38.250	   22.250	130		3						3		3				3						3		3		
21		-364						100									ITALY		ITALY:  ROME	  35.000	   25.000	130								1												1				
22	Tsu	-330							 7.0		 7.0					11	GREECE		GREECE:  AEGEAN SEA	  40.000	   25.000	130																								
9652	Tsu	-326	11														INDIA		INDIA:  KUTCH	  23.000	   71.000	60																								
24		-282															GREECE		GREECE:  DELPHI	  38.500	   22.500	130								1												1				
23		-282														10	TURKEY		TURKEY:  LYSIMACHIA	  41.000	   27.000	140																								
25		-250						20	 6.7		 6.7					9	KYRGYZSTAN		KYRGYZSTAN:  CHIGUCHIN	  42.700	   77.500	40								3												3				
28	Tsu	-227						100	 7.2		 7.2					10	GREECE		GREECE:  DODECANESE ISLANDS	  36.300	   28.300	130								1		1										1		1		
9752	Tsu	-223	10														GREECE		GREECE			130																								
8196		-221														7	EGYPT		EGYPT:  SIWA OASIS; LIBYA	  29.200	   25.500	15								2												2				
9732	Tsu	-218															SPAIN		SPAIN:  CADIZ	  36.200	   -7.170	130																								
29		-217															ITALY		ITALY:  LIGURIA (LIGURIE), GAULE	  44.300	    8.500	130								3																
9733	Tsu	-210															PORTUGAL		PORTUGAL:  CABO SAN VICENTE	  36.000	  -10.500	130																								
7795	Tsu	-198															GREECE		EAST MEDITERRANEAN SEA	  36.404	   25.396	130																								
7895		-193	2						 6.5		 6.5						CHINA		CHINA:  GANSU PROVINCE:  LINTAO	  35.400	  103.900	30								2												2				
30		-186	2	22					 7.0		 7.0						CHINA		CHINA:  GANSU PROVINCE	  33.800	  105.600	30	     760	3											     760	3										
31		-177						100									ITALY		ITALY:  SABINES			130								2		2										2		2		
32		-70	6	1					 7.0		 7.0					9	CHINA		CHINA:  SHANDONG PROVINCE	  36.300	  119.000	30	    6000	4											    6000	4										
55		-63	10					20	 6.4		 6.4					8	RUSSIA		RUSSIA:  PANTIKAPEY	  45.200	   36.600	40								3												3				
9734	Tsu	-60							 6.7		 6.7					9	PORTUGAL		PORTUGAL:  CABO SAN VICENTE	  36.000	  -10.000	130																				3				
9753	Tsu	-58							 6.6		 6.6						ALBANIA		ALBANIA:  DYRRACHIUM	  41.300	   19.500	130																								
9786	Tsu	-50															BULGARIA		BULGARIA:  BISONE [KAVARNA], DIONISOPOLIS [BALCHIK]	  43.500	   28.500	110								2												2				
9754	Tsu	-50							 5.5		 5.5					8	GEORGIA		GEORGIA:  DYOSCURIA [SUKHUMI]	  43.000	   41.000	40								2												2				
33		-47	4	17												9	CHINA		CHINA:  GANSU PROVINCE:  LONGXI	  34.900	  104.700	30		3						2		3				3						2		3		
34		-33														9	ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140	   30000	4											   30000	4										
35		-31	9	2			    		 7.0						 7.0		ISRAEL		ISRAEL:  QUMRAN,ARIHA (JERICHO)	  32.000	   35.500	140								3																
8197		-27															EGYPT		EGYPT:  THEBES	  25.700	   32.700	15								3												3				
7796	Tsu	-26														9	CYPRUS		CYPRUS	  35.000	   33.000	130																								
36		-26							 5.5		 5.5					7	CHINA		CHINA:  SICHUAN:  YIBIN	  28.800	  104.600	30	      13	1						2					      13	1						2				
37		-15					    										CYPRUS		CYPRUS:  SALAMIS	  35.200	   34.000	130								4																
38		10					    	18	 7.1						 7.1	10	TURKMENISTAN		TURKMENISTAN:  NISA	  38.000	   58.300	40								3																
39		11					    									10	TURKEY		TURKEY	  37.800	   27.400	140																								
40		17														10	TURKEY		TURKEY:  IZMIR, EFES, AYDIN, MANISA, ALASEHIR, SART	  37.850	   27.300	140								3												3				
41		23					    									10	GREECE		GREECE	  38.200	   22.200	130																								
42		25					    										PAKISTAN		PAKISTAN	  33.000	   72.000	60								3																
43		27					    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KWANGJU	  35.900	  126.500	30								3																
44		29					    									10	TURKEY		TURKEY:  IZNIK,IZMIT	  40.500	   28.900	140								3																
8178		33															ISRAEL		ISRAEL:  PALESTINE	  31.200	   34.200	140								2												2				
7896		46	10	23					 6.5		 6.5					8	CHINA		CHINA:  HENAN PROVINCE:  NANYANG	  33.000	  112.500	30		2						2		2				2						2		2		
46		50															AFGHANISTAN		AFGHANISTAN:  AIKHANUM	  37.000	   68.500	40								2												2				
49		52					    										GREECE		GREECE:  PHILIPPI,DRAMA,KAVALA	  41.000	   24.300	130								3																
48		52					    									9	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140								3																
50		55					    									10	GREECE		GREECE:  CRETE	  35.000	   25.000	130																								
51		57					    									10	ALBANIA		ALBANIA:  DURRES	  41.200	   19.300	130																								
52		60														9	TURKEY		TURKEY:  LAODICEA, HIERAPOLIS, COLOSSAE, [PAMUKKALE]	  37.900	   29.200	140								3												3				
5880	Tsu	62							 6.9		 6.9					9	GREECE		GREECE:  CRETE	  35.200	   25.100	130																								
53		63														10	ITALY		ITALY:  POMPEI	  40.700	   14.500	130																								
57	Tsu	76														10	CYPRUS		CYPRUS:  PAPHOS, SALAMIS	  34.800	   32.000	130								3		3										3		3		
58		79	8	24												10	ITALY		ITALY:  NAPLES (NAPOLI)	  40.821	   14.426	130													    3500	4										
60		89					    		 6.3						 6.3	8	SOUTH KOREA		SOUTH KOREA:  KWANGJU	  35.900	  126.500	30		3						2																
61		93					    										TURKEY		TURKEY:  HELLESPONT	  40.600	   26.700	140		3						3																
62		100							 6.3		 6.3					8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.800	  129.200	30		3						2		3				3						2		3		
63		105														10	TURKEY		TURKEY	  39.500	   27.000	140																								
9970		109															TURKEY		TURKEY:  GALATIA	  40.000	   34.000	140								3		3										3		3		
64	Tsu	115	12	13					 7.5		 7.5					11	TURKEY		TURKEY:  ANTAKYA (ANTIOCH)	  36.100	   36.100	140	  260000	4						4					  260000	4						4				
9969	Tsu	120							 7.2		 7.2					9	TURKEY		TURKEY: NICOMEDIA, NICAEA	  40.770	   29.920	140		3						2		3				3						2		3		
65	Tsu	123							 6.3		 6.3					8	SOUTH KOREA		SOUTH KOREA:  KYONGJU	  35.800	  129.200	30								1		2										1		2		
